,이름,주소,위도,경도,단어
226,진벌낚시공원,경기도 남양주시 진접읍 진벌리 324,37.7346,127.2275,"['경기', '경기도', '남양주', '남양주시', '진접', '진접읍', '진', '진벌', '벌', '324']"
227,88실내바다낚시터,경기도 고양시 덕양구 고골길116번길 14-67(관산동),37.71074,126.86322,"['경기', '경기도', '고양', '고양시', '덕양', '덕양구', '고골', '고골길116번', '길', '116', '번', '관산', '관산동', '동']"
228,퐁퐁실내낚시터,경기도 고양시 일산동구 탄중로 429 성지프라자 지하1층 102호(중산동),37.69076,126.77767,"['경기', '경기도', '고양', '고양시', '일산', '일산동구', '동구', '중로', '429', '성', '성지프라자', '지프', '라자', '지하', '지하1층', '1', '층', '102', '102호', '호', '중산', '중산동', '동']"
229,백두산낚시터,경기도 고양시 덕양구 서리골길36번길 158-7(선유동),37.68858,126.9114,"['경기', '경기도', '고양', '고양시', '덕양', '덕양구', '서리', '서리골길36', '골', '길', '36', '번', '번길', '선유', '선유동', '동']"
230,백용낚시터,경기도 고양시 일산동구 감내길 73(성석동),37.71391,126.78215,"['경기', '경기도', '고양', '고양시', '일산', '일산동구', '동구', '감내', '감내길', '길', '73', '성석', '성석동', '동']"
231,문봉낚시터,경기도 고양시 일산동구 성현로268번길 153(문봉동),37.70112,126.81428,"['경기', '경기도', '고양', '고양시', '일산', '일산동구', '동구', '성', '성현로268번', '현로', '268', '번', '길', '153', '문봉', '문봉동', '동']"
232,보물섬낚시터,경기도 고양시 덕양구 대곡길 31-8(내곡동),37.64341,126.80289,"['경기', '경기도', '고양', '고양시', '덕양', '덕양구', '대곡', '대곡길', '길', '내곡', '내곡동', '동']"
233,봉림낚시터,경기도 고양시 덕양구 호국로1595번길 25(대자동),37.69295,126.89947,"['경기', '경기도', '고양', '고양시', '덕양', '덕양구', '호', '호국로1595번', '국로', '1595', '번', '길', '25', '대자', '대자동', '동']"
234,뚜루실내낚시놀이터,"경기도 고양시 일산동구 견달산로225번길 26-44, 나동(식사동)",37.68912,126.81875,"['경기', '경기도', '고양', '고양시', '일산', '일산동구', '동구', '견', '견달산로225', '달', '산로', '225', '번', '번길', '길', '나', '나동', '동', '식사', '식사동', '동']"
235,바위골 낚시터,경기도 군포시 호수로 43-178(둔대동),37.329518,126.879424,"['경기', '경기도', '군포', '군포시', '호수', '둔대', '둔대동', '동']"
236,금광호수,경기도 안성시 금광면 금광리 345-1,36.9898764,127.329794,"['경기', '경기도', '안성', '안성시', '금광', '금광면', '면', '금광', '금광리', '리']"
237,만정,경기도 안성시 공도읍 만정리 58,37.018111,127.183264,"['경기', '경기도', '안성', '안성시', '공도', '공도읍', '만', '만정리', '정리', '58']"
238,신미골,경기도 안성시 삼죽면 미장리 40-1,37.038116,127.377075,"['경기', '경기도', '안성', '안성시', '삼죽', '삼죽면', '면', '미장']"
239,마둔,경기도 안성시 금광면 장죽리 216번지 일원,36.974239,127.314235,"['경기', '경기도', '안성', '안성시', '금광', '금광면', '면', '장', '장죽리', '죽리', '216', '216번지', '번지', '일원']"
240,두메,경기도 안성시 죽산면 두교리 451번지 일원,37.008264,127.428955,"['경기', '경기도', '안성', '안성시', '죽산', '죽산면', '면', '교리', '451', '451번지', '번지', '일원']"
241,용설,경기도 안성시 죽산면 용설리 560 외,37.057744,127.444983,"['경기', '경기도', '안성', '안성시', '죽산', '죽산면', '면', '용', '용설리', '설', '리', '560', '외']"
242,노곡,경기도 안성시 양성면 노곡리 254-1 외,37.106131,127.253152,"['경기', '경기도', '안성', '안성시', '양성', '양성면', '면', '노', '노곡', '곡', '외']"
243,농촌지,경기도 안성시 발화동 118 외,36.983539,127.284644,"['경기', '경기도', '안성', '안성시', '발화', '발화동', '동', '118', '외']"
244,덕산,경기도 안성시 삼죽면 배태리 95 외,37.076725,127.366471,"['경기', '경기도', '안성', '안성시', '삼죽', '삼죽면', '면', '배태', '95', '외']"
245,고삼,경기도 안성시 고삼면 월향리 20번지 외,37.093261,127.289348,"['경기', '경기도', '안성', '안성시', '고삼', '고삼면', '면', '월', '월향리', '향리', '20', '20번지', '번지', '외']"
246,청월,경기도 안성시 고삼면 월향리 411-1 외,37.085688,127.277025,"['경기', '경기도', '안성', '안성시', '고삼', '고삼면', '면', '월', '월향리', '향리', '외']"
247,연못,경기도 안성시 고삼면 월향리 44-1 외,37.094849,127.289617,"['경기', '경기도', '안성', '안성시', '고삼', '고삼면', '면', '월', '월향리', '향리', '외']"
248,장계,경기도 안성시 죽산면 장계리 868 외,37.040644,127.406525,"['경기', '경기도', '안성', '안성시', '죽산', '죽산면', '면', '장', '장계리', '계리', '868', '외']"
249,리얼바다낚시터,"경기도 부천시 상일로 72-1, 신라쇼핑타운 지하 51호",37.4901476,126.75029,"['경기', '경기도', '부천', '부천시', '상일', '신라', '신라쇼핑타운', '쇼핑', '타운', '지하', '51', '51호', '호']"
250,아마존실내낚시터,"경기도 부천시 부흥로 404, 지하1층",37.4896579,126.78513,"['경기', '경기도', '부천', '부천시', '부흥', '404', '지하', '지하1층', '1', '층']"
